"","","Average Attendance",""
"1","Manchester United","75,387"
"2","Arsenal","60,000"
"3","Newcastle United","49,936"
"4","Manchester City","47,045"
"5","Liverpool","44,253"
"6","Chelsea","41,478"
"7","Sunderland","39,095"
"8","Tottenham Hotspur","36,026"
"9","Aston Villa","33,873"
"10","Everton","33,228"
"11","Stoke City","27,226"
"12","Norwich City","26,606"
"13","Wolverhampton Wanderers","25,682"
"14","Fulham","25,294"
"15","West Bromwich Albion","24,798"
"16","Bolton Wanderers","23,670"
"17","Blackburn Rovers","22,551"
"18","Swansea City","19,946"
"19","Wigan Athletic","18,634"
"20","Queens Park Rangers","17,295"
