"","","Average Attendance",""
"1","Manchester United","75,529"
"2","Arsenal","60,079"
"3","Newcastle United","50,517"
"4","Manchester City","46,963"
"5","Liverpool","44,748"
"6","Chelsea","41,462"
"7","Sunderland","40,544"
"8","Everton","36,355"
"9","Tottenham Hotspur","36,066"
"10","Aston Villa","35,059"
"11","West Ham United","34,719"
"12","Southampton","30,926"
"13","Stoke City","26,722"
"14","Norwich City","26,671"
"15","Fulham","25,394"
"16","West Bromwich Albion","25,293"
"17","Reading","23,862"
"18","Swansea City","20,370"
"19","Wigan Athletic","19,359"
"20","Queens Park Rangers","17,748"
