"","","Average Attendance",""
"1","Manchester United","75,289"
"2","Arsenal","59,955"
"3","West Ham United","56,971"
"4","Manchester City","54,018"
"5","Liverpool","53,016"
"6","Chelsea","41,502"
"7","Sunderland","41,286"
"8","Everton","39,046"
"9","Leicester City","31,893"
"10","Tottenham Hotspur","31,639"
"11","Southampton","30,936"
"12","Middlesbrough","30,449"
"13","Stoke City","27,456"
"14","Crystal Palace","25,174"
"15","West Bromwich Albion","23,902"
"16","Hull City","20,761"
"17","Swansea City","20,619"
"18","Watford","20,571"
"19","Burnley","20,558"
"20","AFC Bournemouth","11,182"
