"","","Average Attendance",""
"1","Manchester United","74,865"
"2","Arsenal","59,927"
"3","Manchester City","45,517"
"4","Liverpool","42,890"
"5","Chelsea","41,423"
"6","Sunderland","40,355"
"7","Aston Villa","38,573"
"8","Everton","36,725"
"9","Tottenham Hotspur","35,794"
"10","West Ham United","33,683"
"11","Wolverhampton Wanderers","28,366"
"12","Stoke City","27,162"
"13","Blackburn Rovers","25,428"
"14","Birmingham City","25,246"
"15","Hull City","24,390"
"16","Fulham","23,909"
"17","Bolton Wanderers","21,881"
"18","Burnley","20,654"
"19","Portsmouth","18,249"
"20","Wigan Athletic","18,006"
