"","","Average Attendance",""
"1","Manchester United","75,826"
"2","Arsenal","60,045"
"3","Newcastle United","50,686"
"4","Liverpool","43,561"
"5","Chelsea","41,542"
"6","Manchester City","39,997"
"7","Everton","36,739"
"8","Aston Villa","36,214"
"9","Tottenham Hotspur","35,739"
"10","West Ham United","34,719"
"11","Sheffield United","30,512"
"12","Middlesbrough","27,742"
"13","Charlton Athletic","26,195"
"14","Reading","23,829"
"15","Bolton Wanderers","23,606"
"16","Fulham","22,279"
"17","Blackburn Rovers","21,275"
"18","Portsmouth","19,862"
"19","Watford","18,750"
"20","Wigan Athletic","18,159"
