"","","Average Attendance",""
"1","Manchester United","68,767"
"2","Newcastle United","52,032"
"3","Liverpool","44,236"
"4","Manchester City","42,856"
"5","Chelsea","41,902"
"6","Arsenal","38,186"
"7","Everton","36,860"
"8","Tottenham Hotspur","36,074"
"9","Aston Villa","34,059"
"10","Sunderland","33,904"
"11","West Ham United","33,743"
"12","Middlesbrough","28,463"
"13","Birmingham City","27,392"
"14","Charlton Athletic","26,196"
"15","West Bromwich Albion","25,404"
"16","Bolton Wanderers","25,265"
"17","Blackburn Rovers","21,015"
"18","Fulham","20,654"
"19","Wigan Athletic","20,610"
"20","Portsmouth","19,840"
