"","","Average Attendance",""
"1","Manchester United","67,630"
"2","Newcastle United","51,920"
"3","Liverpool","43,243"
"4","Chelsea","39,799"
"5","Sunderland","39,698"
"6","Leeds United","39,126"
"7","Everton","38,475"
"8","Arsenal","38,040"
"9","Tottenham Hotspur","35,900"
"10","Aston Villa","35,081"
"11","Manchester City","34,577"
"12","West Ham United","34,406"
"13","Middlesbrough","31,005"
"14","Southampton","30,680"
"15","Birmingham City","28,836"
"16","West Bromwich Albion","26,523"
"17","Charlton Athletic","26,235"
"18","Blackburn Rovers","26,226"
"19","Bolton Wanderers","24,965"
"20","Fulham","16,685"
