"","","Average Attendance",""
"1","Manchester United","75,109"
"2","Arsenal","60,024"
"3","Newcastle United","47,718"
"4","Manchester City","45,880"
"5","Liverpool","42,820"
"6","Chelsea","41,435"
"7","Sunderland","40,011"
"8","Aston Villa","37,194"
"9","Everton","36,039"
"10","Tottenham Hotspur","35,704"
"11","West Ham United","33,492"
"12","Wolverhampton Wanderers","27,696"
"13","Stoke City","26,858"
"14","Birmingham City","25,462"
"15","Fulham","25,043"
"16","Blackburn Rovers","25,000"
"17","West Bromwich Albion","24,683"
"18","Bolton Wanderers","22,870"
"19","Wigan Athletic","16,812"
"20","Blackpool","15,780"
