"","","Average Attendance",""
"1","Manchester United","75,268"
"2","Arsenal","59,943"
"3","Manchester City","54,020"
"4","Newcastle United","49,464"
"5","Liverpool","43,901"
"6","Sunderland","43,071"
"7","Chelsea","41,499"
"8","Everton","38,051"
"9","Tottenham Hotspur","35,807"
"10","West Ham United","34,906"
"11","Aston Villa","34,479"
"12","Leicester City","32,020"
"13","Southampton","30,750"
"14","Stoke City","27,534"
"15","Norwich City","26,972"
"16","Crystal Palace","24,596"
"17","West Bromwich Albion","24,488"
"18","Swansea City","20,710"
"19","Watford","20,571"
"20","AFC Bournemouth","11,188"
