"","","Average Attendance",""
"1","Manchester United","67,586"
"2","Newcastle United","51,374"
"3","Sunderland","44,213"
"4","Liverpool","43,389"
"5","Leeds United","39,789"
"6","Chelsea","39,033"
"7","Arsenal","38,053"
"8","Aston Villa","35,012"
"9","Tottenham Hotspur","34,878"
"10","Everton","34,004"
"11","West Ham United","31,359"
"12","Southampton","30,633"
"13","Derby County","29,818"
"14","Middlesbrough","28,450"
"15","Blackburn Rovers","25,984"
"16","Bolton Wanderers","25,098"
"17","Ipswich Town","24,396"
"18","Charlton Athletic","24,137"
"19","Leicester City","19,835"
"20","Fulham","19,545"
