"","","Average Attendance",""
"1","Manchester United","74,498"
"2","Arsenal","59,898"
"3","West Ham United","58,335"
"4","Tottenham Hotspur","54,216"
"5","Manchester City","54,128"
"6","Liverpool","53,050"
"7","Newcastle United","51,120"
"8","Chelsea","40,436"
"9","Everton","39,042"
"10","Leicester City","31,832"
"11","Cardiff City","31,407"
"12","Wolverhampton Wanderers","31,030"
"13","Brighton & Hove Albion","30,425"
"14","Southampton","30,212"
"15","Crystal Palace","25,440"
"16","Fulham","24,336"
"17","Huddersfield Town","23,340"
"18","Burnley","20,534"
"19","Watford","20,015"
"20","AFC Bournemouth","10,531"
