"","","Average Attendance",""
"1","Manchester United","75,335"
"2","Arsenal","59,993"
"3","Newcastle United","50,250"
"4","Manchester City","45,411"
"5","Liverpool","44,658"
"6","Sunderland","43,157"
"7","Chelsea","41,546"
"8","Everton","38,405"
"9","Tottenham Hotspur","35,727"
"10","West Ham United","34,871"
"11","Aston Villa","34,132"
"12","Leicester City","31,692"
"13","Southampton","30,652"
"14","Stoke City","27,081"
"15","West Bromwich Albion","25,063"
"16","Crystal Palace","24,413"
"17","Hull City","23,508"
"18","Swansea City","20,548"
"19","Burnley","19,042"
"20","Queens Park Rangers","17,808"
