"","","Average Attendance",""
"1","Manchester United","75,206"
"2","Arsenal","60,013"
"3","Newcastle United","50,395"
"4","Manchester City","47,080"
"5","Liverpool","44,672"
"6","Chelsea","41,481"
"7","Sunderland","41,089"
"8","Everton","37,731"
"9","Aston Villa","36,080"
"10","Tottenham Hotspur","35,808"
"11","West Ham United","34,196"
"12","Southampton","30,211"
"13","Cardiff City","27,429"
"14","Norwich City","26,805"
"15","Stoke City","26,137"
"16","West Bromwich Albion","25,194"
"17","Fulham","24,977"
"18","Crystal Palace","24,377"
"19","Hull City","24,116"
"20","Swansea City","20,406"
