"","","Average Attendance",""
"1","Manchester United","75,304"
"2","Arsenal","60,040"
"3","Newcastle United","48,750"
"4","Liverpool","43,611"
"5","Manchester City","42,899"
"6","Chelsea","41,589"
"7","Sunderland","40,168"
"8","Aston Villa","39,809"
"9","Tottenham Hotspur","35,929"
"10","Everton","35,667"
"11","West Ham United","33,700"
"12","Middlesbrough","28,429"
"13","Stoke City","26,960"
"14","West Bromwich Albion","25,828"
"15","Hull City","24,800"
"16","Fulham","24,344"
"17","Blackburn Rovers","23,479"
"18","Bolton Wanderers","22,486"
"19","Portsmouth","19,830"
"20","Wigan Athletic","18,350"
